GWh,Russia - Imp,Russia - Exp,Kyrgyzstan - Imp,Kyrgyzstan - Exp,Uzbekistan - Imp,Uzbekistan - Exp
Jan 2021,"138,1","126,7",0,"2,8",0,"99,7"
Feb 2021,"115,9","103,8",0,3,0,"230,1"
Mar 2021,"94,2","78,9","0,1","115,9",0,"136,2"
Apr 2021,"90,9",92,"0,1","254,1",0,"214,2"
May 2021,"130,9","116,2","0,1","49,9",0,"15,8"
Jun 2021,"110,6",95,"73,2",0,0,"0,4"
Jul 2021,"170,9",178,"124,4",0,0,"35,4"
Aug 2021,175,"117,8","108,1",0,0,"5,6"
Sep 2021,"146,6","107,8","0,2","40,4",0,"214,2"
Oct 2021,"155,2","129,8","0,2",80,0,"136,2"
Nov 2021,"317,2","54,1","0,2","51,6",0,"230,1"
Dec 2021,"167,1","126,6","0,2","0,7",0,"99,7"
Jan 2022,"186,1","103,1",0,"52,3",,
Feb 2022,"117,5","108,7","1,2","167,4",,
Mar 2022,"89,4","112,8","0,2","164,5",,
Apr 2022,"92,2","95,9","0,2","38,8",,
May 2022,"112,4","95,5","0,1","0,6",,
Jun 2022,"185,6","128,4","61,7",0,,
Jul 2022,"120,5","139,7",1543,0,,
Aug 2022,"120,2","131,3","118,6",0,,
Sep 2022,190,"180,1","1,2",0,,
Oct 2022,208,120,"0,1","149,5",,
Nov 2022,"247,3",135,"0,2",110,,
Dec 2022,"295,9","196,2","0,2","5,9",,
Jan 2023,"276,6","145,1","0,1","138,7",,
Feb 2023,"277,8","192,2","0,2","85,8",,
Mar 2023,,,,,,
,,,,,,
Source: Bureau of National Statistics of Kazakhstan,,,,,,
https://new.stat.gov.kz/ru/industries/economy/foreign-market/spreadsheets/?year=2023&name=26579&period=month&type=,,,,,,
